"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"BUILT_BY";"COPYRIGHT";"CREATED_BY";"DESCRIPTION";"DIGI_KEY_PART_NUMBER";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SOURCELIBRARY";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";"VENDOR";
"R_IMON_OUT";"121.53k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R_IOR";"3.01k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R_IOW";"30.373k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R_S1";"22";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R_S2";"22";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R_SENS2_1/2W";"5m";"ERJ-MP2MF5M0U";"RESC3216X89N";"Panasonic ERJMP2 Series Metal Plate Current Sensing Surface Mount Resistor 1206 Case 5m +/-1% 1W +/-75ppm/C";"";"";"";"";"";"Panasonic ERJMP2 Series Metal Plate Current Sensing Surface Mount Resistor 1206 Case 5m +/-1% 1W +/-75ppm/C";"";"0.89mm";"";"Panasonic";"ERJ-MP2MF5M0U";"";"667-ERJ-MP2MF5M0U";"https://www.mouser.com/Search/Refine.aspx?Keyword=667-ERJ-MP2MF5M0U";"";"";"";"";"";"";"";"";"";
"R_SENSE1_1/2W";"6.2m";"ERJ6LWFR006V";"RESC2012X80N";"Res Current Sense Thick Film 0805 0.006 Ohm 1% 1/2W 0ppm/C to 300ppm/C Molded Paper T/R - Tape and Reel";"";"";"";"";"";"Res Current Sense Thick Film 0805 0.006 Ohm 1% 1/2W 0ppm/C to 300ppm/C Molded Paper T/R - Tape and Reel";"";"0.8mm";"";"Panasonic";"ERJ6LWFR006V";"";"";"";"";"";"";"";"";"";"";"";"";
"SHUNT_NFET";"RFP30N06LE";"RFP30N06LE";"TO254P470X1016X2019-3P";"MOSFET TO-220AB N-Ch Power";"";"";"";"";"";"MOSFET TO-220AB N-Ch Power";"";"4.7mm";"";"ON Semiconductor";"RFP30N06LE";"";"512-RFP30N06LE";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/RFP30N06LE?qs=mdiO5HdF0KgGbixxeJqneA%3D%3D";"";"";"";"";"";"";"";"";"";
"SHUNT_RES_NEG";"";"SMD5";"SMD2,54-5,08";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"21";"";"";"";"";"";
"SHUNT_RES_POS";"";"SMD5";"SMD2,54-5,08";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"21";"";"";"";"";"";
"SOLAR_GND";"";"SMD5";"SMD2,54-5,08";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"21";"";"";"";"";"";
"SOLAR_IN";"";"SMD5";"SMD2,54-5,08";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"21";"";"";"";"";"";
"TG1";"2";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"TG2";"10";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"TG3";"6m";"ERJ6LWFR006V";"RESC2012X80N";"Res Current Sense Thick Film 0805 0.006 Ohm 1% 1/2W 0ppm/C to 300ppm/C Molded Paper T/R - Tape and Reel";"";"";"";"";"";"Res Current Sense Thick Film 0805 0.006 Ohm 1% 1/2W 0ppm/C to 300ppm/C Molded Paper T/R - Tape and Reel";"";"0.8mm";"";"Panasonic";"ERJ6LWFR006V";"";"";"";"";"";"";"";"";"";"";"";"";
"TG4";"10";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"TG5";"2";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"U1";"LT8491EUKJ";"LT8491EUKJ";"QFN64(58)-UKJ-REV0_ADI";"";"";"";"SunStream";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"";"";"LT8491EUKJ";"";"";"";"";"";"";"";"Analog_Devices_Inc_2020-09-15";"";"";"";"Analog Devices Inc";
